2026-02-01 16:35:00 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:35:00 | INFO    | src.cookie_manager | Cookie 加载成功
2026-02-01 16:37:46 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:37:46 | INFO    | src.cookie_manager | Cookie 加载成功
2026-02-01 16:37:57 | INFO    | src.cookie_manager | Cookie 格式检查通过，用户: jd_5f952e33ff3b5
2026-02-01 16:38:05 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:38:09 | INFO    | src.notifier | Telegram 连接成功，Bot: @onlybulidbbot
2026-02-01 16:38:12 | ERROR   | src.notifier | Telegram 请求失败: 403
2026-02-01 16:38:19 | ERROR   | src.notifier | Telegram 请求失败: 403
2026-02-01 16:38:26 | ERROR   | src.notifier | Telegram 请求失败: 403
2026-02-01 16:40:16 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:40:19 | INFO    | src.notifier | Telegram 连接成功，Bot: @onlybulidbbot
2026-02-01 16:40:21 | INFO    | src.notifier | Telegram 消息发送成功
2026-02-01 16:41:09 | DEBUG   | asyncio | Using proactor: IocpProactor
2026-02-01 16:41:09 | INFO    | src.monitor | ==================================================
2026-02-01 16:41:09 | INFO    | src.monitor | 京东商品监控启动
2026-02-01 16:41:09 | INFO    | src.monitor | 监控间隔: 60 秒
2026-02-01 16:41:09 | INFO    | src.monitor | 监控模式: multi
2026-02-01 16:41:09 | INFO    | src.monitor | 监控商品数: 2
2026-02-01 16:41:09 | INFO    | src.monitor |   - 示例商品1
2026-02-01 16:41:09 | INFO    | src.monitor |   - 示例商品2
2026-02-01 16:41:11 | INFO    | src.notifier | Telegram 连接成功，Bot: @onlybulidbbot
2026-02-01 16:41:13 | INFO    | src.notifier | Telegram 消息发送成功
2026-02-01 16:41:13 | INFO    | src.monitor | ==================================================
2026-02-01 16:41:13 | INFO    | src.monitor | 开始检查 - 2026-02-01 16:41:13
2026-02-01 16:41:13 | INFO    | src.cookie_manager | Cookie 加载成功
2026-02-01 16:41:25 | INFO    | src.cookie_manager | Cookie 格式检查通过，用户: jd_5f952e33ff3b5
2026-02-01 16:41:25 | INFO    | src.monitor | 没有找到历史状态文件，首次运行
2026-02-01 16:41:40 | ERROR   | src.jd_api | 请求失败 https://p.3.cn/prices/mgets: 
